Authority.Name,Fiscal.Year.End.Date,Cash.And.Cash.Equivalents,Investments,Receivables..Net,Other.Assets..Current.,Total.Current.Assets,Restricted.Cash.And.Investments,Long.Term.Receivables..Net,Other.Assets..Noncurrent.,Land.And.Other.Non.Depreciable.Property,Buildings.And.Equipment,Infrastructure,Accumulated.Depreciation,Net.Capital.Assets,Total.Noncurrent.Assets,Total.Assets,Accounts.Payable,Pension.Contribution.Payable..Current.,Other.Post.Employment.Benefits..Current.,Accrued.Liabilities,Deferred.Revenues,Bonds.And.Notes.Payable..Current.,Other.Long.Term.Obligations.Due.Within.One.Year,Total.Current.Liabilities,Pension.Contribution.Payable..Noncurrent.,Other.Post.Employment.Benefits..Noncurrent.,Bonds.And.Notes.Payable..Noncurrent.,Long.Term.Leases,Other.Long.Term.Obligations,Total.Noncurrent.Liabilities,Total.Liabilities,Invested.In.Capital.Assets..Net.Of.Related.Debt,Restricted.Net.Assets,Unrestricted.Net.Assets,Total.Net.Assets,Charges.For.Services,Rental.And.Financing.Income,Other.Operating.Revenues,Total.Operating.Revenue,Salaries.And.Wages,Other.Employee.Benefits,Professional.Services.Contracts,Supplies.And.Materials,Depreciation.And.Amortization,Other.Operating.Expenses,Total.Operating.Expenses,Operating.Income..Loss.,Investment.Earnings,State.Subsidies...Grants,Federal.Subsidies...Grants,Municipal.Subsidies...Grants,Public.Authority.Subsidies,Other.Non.operating.Revenues,Total.Non.Operating.Revenue,Interest.And.Other.Financing.Charges,Subsidies.To.Other.Public.Authorities,Grants.And.Donations,Other.Non.Operating.Expenses,Total.Non.Operating.Expenses,Income..Loss..Before.Contributions,Capital.Contributions,Change.in.net.assets,Net.Assets..Deficit..Beginning.Of.Year,Other.Net.Assets.Changes,Net.Assets..Deficit..At.End.Of.Year,,
Dutchess County Local Development Corporation,9/30/2024,3078612.00,0.00,3350.00,181999.00,3263961.00,0.00,0.00,570095.00,0.00,19997.00,0.00,0.00,19997.00,590092.00,3854053.00,78046.00,0.00,0.00,0.00,0.00,0.00,66223.00,144269.00,0.00,0.00,0.00,570292.00,0.00,570292.00,714561.00,-46423.00,0.00,3185915.00,3139492.00,613211.00,0.00,763818.00,1377029.00,475531.00,144166.00,227937.00,0.00,84293.00,245109.00,1177036.00,199993.00,90326.00,0.00,0.00,0.00,0.00,0.00,90326.00,29411.00,0.00,0.00,0.00,29411.00,260908.00,0.00,260908.00,2878584.00,0.00,3139492.00,3854053.00,OK
Dutchess County-Poughkeepsie Land Bank Corporation,9/30/2024,206988.00,0.00,130526.00,0.00,337514.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,337514.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,337514.00,0.00,337514.00,0.00,0.00,0.00,0.00,28333.00,6853.00,23350.00,11370.00,0.00,6103.00,76009.00,-76009.00,0.00,62023.00,0.00,118000.00,0.00,1361.00,181384.00,0.00,0.00,0.00,0.00,0.00,105375.00,0.00,105375.00,232139.00,0.00,337514.00,337514.00,OK
Dutchess Tobacco Asset Securitization Corporation,9/30/2024,3521095.40,0.00,3700000.00,0.00,7221095.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7221095.40,0.00,0.00,0.00,191936.70,0.00,0.00,0.00,191936.70,0.00,0.00,54973091.80,0.00,10559626.40,65532718.20,65724654.90,0.00,7121157.70,-65624717.20,-58503559.50,0.00,0.00,3654253.90,3654253.90,0.00,0.00,0.00,0.00,0.00,60153.00,60153.00,3594100.80,218717.70,0.00,0.00,0.00,0.00,0.00,218717.70,2384810.30,0.00,0.00,0.00,2384810.30,1428008.30,0.00,1428008.30,-59931567.70,0.00,-58503559.50,7221095.40,OK
Seneca County Funding Corporation,9/30/2024,47330.00,0.00,0.00,0.00,47330.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47330.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47330.00,47330.00,0.00,0.00,0.00,0.00,0.00,0.00,2950.00,0.00,0.00,0.00,2950.00,-2950.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2950.00,0.00,-2950.00,50280.00,0.00,47330.00,47330.00,OK
Economic Development Corporation - Warren County,9/30/2024,374241.00,251326.00,66038.00,32710.00,724315.00,0.00,0.00,175946.00,130437.00,35385.00,59909.00,65186.00,160545.00,336491.00,1060806.00,4250.00,0.00,0.00,16576.00,61000.00,0.00,44011.00,125837.00,0.00,0.00,0.00,128040.00,0.00,128040.00,253877.00,0.00,569869.00,237060.00,806929.00,524000.00,0.00,99411.00,623411.00,368179.00,62080.00,96187.00,13872.00,6876.00,173884.00,721078.00,-97667.00,5233.00,14274.00,0.00,0.00,0.00,619.00,20126.00,0.00,0.00,0.00,0.00,0.00,-77541.00,0.00,-77541.00,884470.00,0.00,806929.00,1060806.00,OK
Energy Improvement Corporation,9/30/2024,111499.00,0.00,9173.00,5600.00,126272.00,880623.00,1681194.00,30000.00,0.00,0.00,0.00,0.00,0.00,2591817.00,2718089.00,705.00,0.00,0.00,113289.00,0.00,0.00,117876.00,231870.00,0.00,0.00,1607098.00,0.00,0.00,1607098.00,1838968.00,0.00,905623.00,-26502.00,879121.00,0.00,523060.00,0.00,523060.00,788138.00,132361.00,18573.00,0.00,0.00,230025.00,1169097.00,-646037.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-646037.00,0.00,-646037.00,1525158.00,0.00,879121.00,2718089.00,OK
Erie Tobacco Asset Securitization Corporation,9/30/2024,174556.00,19156898.00,0.00,15000.00,19346454.00,672016.00,16150067.00,15111786.00,0.00,0.00,0.00,0.00,0.00,31933869.00,51280323.00,0.00,0.00,0.00,857000.00,0.00,0.00,0.00,857000.00,0.00,0.00,196994356.00,0.00,171406312.00,368400668.00,369257668.00,0.00,19828914.00,-337806259.00,-317977345.00,0.00,0.00,16330693.00,16330693.00,0.00,0.00,109149.00,0.00,0.00,0.00,109149.00,16221544.00,167.00,0.00,0.00,0.00,0.00,671958.00,672125.00,22502060.00,0.00,0.00,0.00,22502060.00,-5608391.00,0.00,-5608391.00,-312368954.00,0.00,-317977345.00,51280323.00,OK
ErieNet Local Development Corporation,9/30/2024,1938996.00,28763343.00,0.00,5415.00,30707754.00,1104616.00,0.00,0.00,3291403.00,0.00,0.00,0.00,3291403.00,4396019.00,35103773.00,1079296.00,0.00,0.00,3374.00,29867959.00,0.00,0.00,30950629.00,0.00,0.00,0.00,0.00,0.00,0.00,30950629.00,3291403.00,0.00,861741.00,4153144.00,0.00,0.00,230.00,230.00,131001.00,0.00,647646.00,0.00,0.00,61991.00,840638.00,-840408.00,860579.00,0.00,4132041.00,0.00,0.00,0.00,4992620.00,0.00,0.00,0.00,0.00,0.00,4152212.00,0.00,4152212.00,932.00,0.00,4153144.00,35103773.00,OK
Essex County Capital Resource Corporation,9/30/2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,OK
Finger Lakes Horizon Economic Development Corporation,9/30/2024,951698.00,0.00,202310.00,53500.00,1207508.00,0.00,1415331.00,0.00,0.00,0.00,0.00,0.00,0.00,1415331.00,2622839.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2622839.00,2622839.00,251290.00,0.00,56713.00,308003.00,0.00,0.00,166092.00,0.00,0.00,670.00,166762.00,141241.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,141241.00,0.00,141241.00,2481598.00,0.00,2622839.00,2622839.00,OK
Finger Lakes Regional Land Bank Corporation,9/30/2024,142812.00,8726.00,0.00,171.00,151709.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,151709.00,0.00,0.00,0.00,17765.00,39086.00,0.00,0.00,56851.00,0.00,0.00,0.00,0.00,0.00,0.00,56851.00,0.00,0.00,94858.00,94858.00,0.00,0.00,98400.00,98400.00,0.00,0.00,105304.00,0.00,0.00,33236.00,138540.00,-40140.00,0.00,94979.00,0.00,0.00,0.00,0.00,94979.00,0.00,0.00,0.00,0.00,0.00,54839.00,0.00,54839.00,40019.00,0.00,94858.00,151709.00,OK
Franklin County Civic Development Corporation,9/30/2024,8169.00,6885.00,15000.00,250.00,30304.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30304.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30304.00,30304.00,24000.00,0.00,0.00,24000.00,0.00,0.00,1020.00,0.00,0.00,0.00,1020.00,22980.00,479.00,0.00,0.00,0.00,0.00,0.00,479.00,0.00,0.00,0.00,0.00,0.00,23459.00,0.00,23459.00,6845.00,0.00,30304.00,30304.00,OK
Franklin County Economic Development Corporation,9/30/2024,1220343.00,0.00,179480.00,529798.00,1929621.00,0.00,599280.00,0.00,0.00,21262.00,0.00,0.00,21262.00,620542.00,2550163.00,89929.00,0.00,0.00,0.00,20000.00,0.00,11133.00,121062.00,0.00,0.00,0.00,0.00,0.00,0.00,121062.00,0.00,0.00,2429101.00,2429101.00,96843.00,0.00,62718.00,159561.00,153283.00,37587.00,70070.00,52368.00,15475.00,81770.00,410553.00,-250992.00,39160.00,458212.00,0.00,0.00,0.00,25.00,497397.00,0.00,50000.00,310807.00,0.00,360807.00,-114402.00,0.00,-114402.00,2543503.00,0.00,2429101.00,2550163.00,OK
"Fulton County Center for Regional Growth, Inc.",9/30/2024,1008926.00,0.00,43667.00,1303.00,1053896.00,113423.00,0.00,34563.00,0.00,0.00,0.00,0.00,0.00,147986.00,1201882.00,7416.00,0.00,0.00,17500.00,27042.00,0.00,0.00,51958.00,0.00,0.00,0.00,0.00,0.00,0.00,51958.00,0.00,113423.00,1036501.00,1149924.00,556669.00,32560.00,39663.00,628892.00,342230.00,56208.00,33339.00,16321.00,4051.00,522486.00,974635.00,-345743.00,141961.00,0.00,223343.00,0.00,0.00,30000.00,395304.00,0.00,0.00,0.00,0.00,0.00,49561.00,0.00,49561.00,1100363.00,0.00,1149924.00,1201882.00,OK
Genesee County Funding Corporation,9/30/2024,28308.00,0.00,0.00,0.00,28308.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28308.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28308.00,28308.00,0.00,0.00,0.00,0.00,0.00,0.00,3000.00,0.00,0.00,0.00,3000.00,-3000.00,354.00,0.00,0.00,0.00,0.00,0.00,354.00,0.00,0.00,0.00,0.00,0.00,-2646.00,0.00,-2646.00,30954.00,0.00,28308.00,28308.00,OK
Genesee Gateway Local Development Corporation,9/30/2024,6317302.00,0.00,1141744.00,3335.00,7462381.00,0.00,2802501.00,275000.00,3521964.00,7295219.00,0.00,2542264.00,8274919.00,11352420.00,18814801.00,58627.00,0.00,0.00,0.00,21773.00,246950.00,109944.00,437294.00,0.00,0.00,4181726.00,2482426.00,0.00,6664152.00,7101446.00,324279.00,674775.00,10714301.00,11713355.00,0.00,832528.00,1653883.00,2486411.00,0.00,0.00,156272.00,779.00,194101.00,1187289.00,1538441.00,947970.00,173939.00,0.00,0.00,0.00,0.00,0.00,173939.00,152021.00,0.00,0.00,0.00,152021.00,969888.00,0.00,969888.00,10743467.00,0.00,11713355.00,18814801.00,OK
Genesee Tobacco Asset Securitization Corporation,9/30/2024,419481.00,0.00,0.00,4660.00,424141.00,973619.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,973619.00,1397760.00,7809.00,0.00,0.00,60595.00,0.00,300000.00,0.00,368404.00,0.00,0.00,22161143.00,0.00,0.00,22161143.00,22529547.00,0.00,1397760.00,-22529547.00,-21131787.00,874204.00,0.00,0.00,874204.00,0.00,0.00,22227.00,0.00,0.00,1756.00,23983.00,850221.00,60904.00,0.00,0.00,0.00,0.00,0.00,60904.00,588636.00,0.00,0.00,806447.00,1395083.00,-483958.00,0.00,-483958.00,-20647829.00,0.00,-21131787.00,1397760.00,OK
Glen Cove Local Economic Assistance Corporation,9/30/2024,10286.00,89122.00,0.00,0.00,99408.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99408.00,0.00,0.00,0.00,3500.00,2000.00,0.00,0.00,5500.00,0.00,0.00,0.00,0.00,0.00,0.00,5500.00,0.00,0.00,93908.00,93908.00,0.00,0.00,52000.00,52000.00,0.00,0.00,56510.00,0.00,0.00,0.00,56510.00,-4510.00,287.00,0.00,0.00,0.00,0.00,0.00,287.00,0.00,0.00,0.00,0.00,0.00,-4223.00,0.00,-4223.00,98131.00,0.00,93908.00,99408.00,OK
Glens Falls Civic Development Corporation,9/30/2024,150.80,0.00,0.00,0.00,150.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.80,0.00,150.80,0.00,0.00,7500.00,7500.00,0.00,0.00,7724.00,0.00,0.00,0.00,7724.00,-224.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-224.00,0.00,-224.00,374.80,0.00,150.80,150.80,OK
Greater Glens Falls Local Development Corporation,9/30/2024,542757.00,0.00,107916.00,0.00,650673.00,0.00,11203.00,259943.00,1421164.00,0.00,329961.00,0.00,1751125.00,2022271.00,2672944.00,176036.00,0.00,0.00,0.00,0.00,0.00,7763.00,183799.00,0.00,0.00,0.00,0.00,125087.00,125087.00,308886.00,0.00,0.00,2364058.00,2364058.00,39588.00,0.00,1504.00,41092.00,16894.00,0.00,67633.00,0.00,0.00,18590.00,103117.00,-62025.00,0.00,153258.00,0.00,0.00,0.00,0.00,153258.00,1411.00,0.00,153258.00,65376.00,220045.00,-128812.00,0.00,-128812.00,2492870.00,0.00,2364058.00,2672944.00,OK
Greater Lockport Development Corporation,9/30/2024,1590160.00,0.00,145849.00,63863.00,1799872.00,0.00,0.00,0.00,0.00,4670118.00,0.00,0.00,4670118.00,4670118.00,6469990.00,250979.00,0.00,0.00,71728.00,6158.00,75000.00,0.00,403865.00,0.00,0.00,2860212.00,0.00,0.00,2860212.00,3264077.00,0.00,256783.00,2949130.00,3205913.00,0.00,1098747.00,369652.00,1468399.00,280997.00,0.00,94711.00,0.00,464980.00,614514.00,1455202.00,13197.00,0.00,253958.00,0.00,0.00,0.00,1723912.00,1977870.00,106853.00,0.00,2018319.00,21267.00,2146439.00,-155372.00,0.00,-155372.00,3417160.00,-55875.00,3205913.00,6469990.00,OK
Greater Syracuse Property Development Corporation,9/30/2024,2547399.00,0.00,583644.00,68367.00,3199410.00,606773.00,0.00,95687.00,607209.00,6735.00,0.00,0.00,613944.00,1316404.00,4515814.00,202401.00,0.00,0.00,43654.00,523479.00,0.00,122597.00,892131.00,0.00,0.00,0.00,0.00,0.00,0.00,892131.00,0.00,0.00,3623683.00,3623683.00,2834385.00,35270.00,1636561.00,4506216.00,704212.00,0.00,198447.00,52591.00,27133.00,3226185.00,4208568.00,297648.00,0.00,0.00,0.00,0.00,0.00,83158.00,83158.00,0.00,0.00,0.00,0.00,0.00,380806.00,7800.00,388606.00,3235077.00,0.00,3623683.00,4515814.00,OK
Greater Syracuse Soundstage Development Corporation,9/30/2024,120911.00,0.00,45000.00,2000.00,167911.00,0.00,0.00,0.00,1184000.00,6812381.00,0.00,0.00,7996381.00,7996381.00,8164292.00,291.00,0.00,0.00,10769.00,150000.00,170984.00,0.00,332044.00,0.00,0.00,0.00,0.00,0.00,0.00,332044.00,7825397.00,0.00,6851.00,7832248.00,0.00,65000.00,100.00,65100.00,0.00,0.00,13981.00,3870.00,234784.00,46929.00,299564.00,-234464.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26222.00,0.00,0.00,0.00,26222.00,-260686.00,0.00,-260686.00,8092934.00,0.00,7832248.00,8164292.00,OK
Greene County Economic Development Corporation,9/30/2024,104341.00,0.00,30462.00,0.00,134803.00,0.00,193023.00,0.00,0.00,0.00,0.00,0.00,0.00,193023.00,327826.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,276709.00,51117.00,327826.00,0.00,0.00,33394.00,33394.00,0.00,0.00,8026.00,2322.00,0.00,4800.00,15148.00,18246.00,0.00,0.00,0.00,0.00,0.00,6310.00,6310.00,0.00,0.00,0.00,0.00,0.00,24556.00,0.00,24556.00,303270.00,0.00,327826.00,327826.00,OK
Greene Tobacco Asset Securitization Corporation,9/30/2024,79077.00,0.00,614086.00,196.00,693359.00,679164.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,679164.00,1372523.00,4000.00,0.00,0.00,0.00,0.00,0.00,33139.00,37139.00,0.00,0.00,15452220.00,0.00,0.00,15452220.00,15489359.00,0.00,0.00,-14116836.00,-14116836.00,6019.00,0.00,639097.00,645116.00,0.00,0.00,27519.00,0.00,0.00,1726.00,29245.00,615871.00,42919.00,0.00,0.00,0.00,0.00,0.00,42919.00,920334.00,0.00,0.00,0.00,920334.00,-261544.00,0.00,-261544.00,-13855292.00,0.00,-14116836.00,1372523.00,OK
Griffiss Local Development Corporation,9/30/2024,2815898.00,0.00,2790380.00,154035.00,5760313.00,0.00,3785771.00,1879461.00,3384099.00,44825517.00,7473038.00,32036311.00,23646343.00,29311575.00,35071888.00,593922.00,0.00,0.00,1572374.00,62571.00,820885.00,8889.00,3058641.00,0.00,0.00,10877787.00,0.00,697880.00,11575667.00,14634308.00,0.00,0.00,20437580.00,20437580.00,546528.00,3851839.00,35969.00,4434336.00,694772.00,232581.00,1376569.00,92699.00,2125617.00,1356526.00,5878764.00,-1444428.00,20410.00,657538.00,1465415.00,0.00,0.00,550442.00,2693805.00,457753.00,0.00,0.00,27430.00,485183.00,764194.00,0.00,764194.00,19673386.00,0.00,20437580.00,35071888.00,OK
Griffiss Utility Services Corporation,9/30/2024,8923201.00,14084518.00,881794.00,62874.00,23952387.00,9081592.00,0.00,737752.00,25651811.00,23551554.00,22050363.00,42233367.00,29020361.00,38839705.00,62792092.00,588397.00,0.00,0.00,183960.00,0.00,407798.00,0.00,1180155.00,0.00,474098.00,7559406.00,0.00,3727272.00,11760776.00,12940931.00,0.00,862684.00,48988477.00,49851161.00,9810201.00,0.00,48138.00,9858339.00,1607352.00,519000.00,299090.00,3978591.00,2059594.00,522388.00,8986015.00,872324.00,983475.00,0.00,0.00,0.00,0.00,345553.00,1329028.00,144926.00,125379.00,0.00,0.00,270305.00,1931047.00,0.00,1931047.00,48131632.00,-211518.00,49851161.00,62792092.00,OK
Hamburg New York Land Development Corporation,9/30/2024,1147280.00,0.00,0.00,0.00,1147280.00,0.00,0.00,0.00,547258.00,0.00,0.00,0.00,547258.00,547258.00,1694538.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1694538.00,1694538.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27072.00,27072.00,-27072.00,48477.00,0.00,0.00,0.00,0.00,0.00,48477.00,0.00,0.00,0.00,0.00,0.00,21405.00,0.00,21405.00,1673133.00,0.00,1694538.00,1694538.00,OK
Herkimer Tobacco Asset Securitization Corporation,9/30/2024,199620.00,0.00,0.00,1235691.00,1435311.00,0.00,0.00,520106.00,0.00,0.00,0.00,0.00,0.00,520106.00,1955417.00,0.00,0.00,0.00,18125.00,0.00,0.00,300000.00,318125.00,0.00,0.00,0.00,0.00,26697545.00,26697545.00,27015670.00,0.00,1231406.00,-26291659.00,-25060253.00,0.00,81994.00,1052008.00,1134002.00,0.00,0.00,18150.00,0.00,0.00,1048916.00,1067066.00,66936.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66936.00,0.00,66936.00,-24482950.00,-644239.00,-25060253.00,1955417.00,OK
Hornell Area Industrial Development Corporation,9/30/2024,307967.00,0.00,32421.00,0.00,340388.00,0.00,6037.00,0.00,0.00,0.00,0.00,0.00,0.00,6037.00,346425.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,346425.00,346425.00,524.00,0.00,0.00,524.00,0.00,0.00,4988.00,0.00,0.00,14582.00,19570.00,-19046.00,73.00,0.00,0.00,0.00,0.00,0.00,73.00,0.00,0.00,0.00,0.00,0.00,-18973.00,0.00,-18973.00,365398.00,0.00,346425.00,346425.00,OK
Hudson Development Corporation,9/30/2024,28045.00,2740850.00,0.00,0.00,2768895.00,0.00,0.00,173153.00,0.00,150384.00,0.00,0.00,150384.00,323537.00,3092432.00,287.00,0.00,0.00,0.00,0.00,0.00,0.00,287.00,0.00,0.00,0.00,173153.00,0.00,173153.00,173440.00,0.00,25095.00,2893897.00,2918992.00,0.00,4000.00,32098.00,36098.00,36997.00,0.00,28447.00,2473.00,12773.00,71050.00,151740.00,-115642.00,107145.00,0.00,0.00,0.00,0.00,0.00,107145.00,0.00,0.00,0.00,0.00,0.00,-8497.00,0.00,-8497.00,2927489.00,0.00,2918992.00,3092432.00,OK
Hudson Valley AgriBusiness Development Corp,9/30/2024,1902918.00,0.00,461948.00,9733.00,2374599.00,193520.00,441177.00,20850.00,0.00,11397.00,0.00,0.00,11397.00,666944.00,3041543.00,61127.00,0.00,0.00,14098.00,1307895.00,0.00,166667.00,1549787.00,0.00,0.00,0.00,0.00,500000.00,500000.00,2049787.00,0.00,305000.00,686756.00,991756.00,1145794.00,38004.00,25600.00,1209398.00,344249.00,33868.00,184214.00,13842.00,14072.00,190611.00,780856.00,428542.00,19.00,0.00,0.00,0.00,0.00,0.00,19.00,6041.00,0.00,0.00,0.00,6041.00,422520.00,0.00,422520.00,593110.00,-23874.00,991756.00,3041543.00,OK
Jamestown Local Development Corporation,9/30/2024,3620564.70,0.00,1177502.20,0.00,4798066.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4798066.90,198363.00,0.00,0.00,0.00,1889622.00,0.00,0.00,2087985.00,0.00,0.00,0.00,0.00,0.00,0.00,2087985.00,0.00,0.00,2710081.90,2710081.90,0.00,0.00,5409248.70,5409248.70,0.00,0.00,5630.00,0.00,0.00,5108275.20,5113905.20,295343.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,295343.50,0.00,295343.50,0.00,2414738.40,2710081.90,4798066.90,OK
Jefferson County Civic Facility Development Corporation,9/30/2024,17986.00,0.00,3250.00,0.00,21236.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21236.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21236.00,21236.00,8750.00,0.00,0.00,8750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8750.00,0.00,8750.00,12486.00,0.00,21236.00,21236.00,OK
Jefferson County Local Development Corporation,9/30/2024,4856237.00,2713.00,202287.00,151711.00,5212948.00,0.00,0.00,0.00,0.00,163928.00,0.00,93827.00,70101.00,70101.00,5283049.00,9723.00,0.00,0.00,41431.00,0.00,10398.00,2043400.00,2104952.00,0.00,0.00,0.00,0.00,191680.00,191680.00,2296632.00,0.00,0.00,2986417.00,2986417.00,412577.00,8943.00,0.00,421520.00,817464.00,0.00,139912.00,0.00,15139.00,192050.00,1164565.00,-743045.00,0.00,0.00,848636.00,425550.00,0.00,8533.00,1282719.00,0.00,0.00,1248636.00,0.00,1248636.00,-708962.00,0.00,-708962.00,3695379.00,0.00,2986417.00,5283049.00,OK
"Kingston City Land Bank, Inc.",9/30/2024,1152089.00,0.00,115088.00,508539.00,1775716.00,0.00,0.00,0.00,590019.00,617717.00,0.00,0.00,1207736.00,1207736.00,2983452.00,28665.00,0.00,0.00,0.00,0.00,0.00,0.00,28665.00,0.00,0.00,0.00,0.00,0.00,0.00,28665.00,0.00,462708.00,2492079.00,2954787.00,0.00,0.00,232640.00,232640.00,205951.00,0.00,192578.00,0.00,0.00,268212.00,666741.00,-434101.00,7094.00,525517.00,0.00,0.00,0.00,398440.00,931051.00,0.00,0.00,0.00,381.00,381.00,496569.00,0.00,496569.00,2458218.00,0.00,2954787.00,2983452.00,OK
Lake Champlain-Lake George Regional Development Corporation,9/30/2024,51244.30,0.00,2854.80,0.00,54099.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54099.10,0.00,0.00,0.00,19.70,0.00,29985.00,0.00,30004.70,0.00,0.00,0.00,0.00,0.00,0.00,30004.70,0.00,0.00,24094.40,24094.40,0.00,656.60,11872.50,12529.20,0.00,0.00,3800.00,0.00,0.00,1378.20,5178.20,7351.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,533.30,0.00,0.00,0.00,533.30,6817.70,0.00,6817.70,17276.80,0.00,24094.40,54099.10,OK
Land Reutilization Corporation of The Capital Region,9/30/2024,2170733.00,0.00,0.00,0.00,2170733.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2170733.00,72385.00,0.00,0.00,0.00,0.00,0.00,0.00,72385.00,0.00,0.00,0.00,0.00,0.00,0.00,72385.00,0.00,0.00,2098348.00,2098348.00,0.00,0.00,237559.00,237559.00,0.00,0.00,134040.00,0.00,0.00,3488.00,137528.00,100031.00,0.00,467778.00,0.00,75000.00,69601.00,581164.00,1193543.00,0.00,0.00,0.00,1143289.00,1143289.00,150285.00,0.00,150285.00,1948063.00,0.00,2098348.00,2170733.00,OK
Lewis County Development Corporation,9/30/2024,1517681.00,0.00,0.00,0.00,1517681.00,0.00,41385.00,0.00,97342.00,0.00,0.00,0.00,97342.00,138727.00,1656408.00,0.00,0.00,0.00,0.00,902448.00,0.00,0.00,902448.00,0.00,0.00,168032.00,0.00,0.00,168032.00,1070480.00,0.00,585928.00,0.00,585928.00,0.00,17672.00,0.00,17672.00,0.00,0.00,57723.00,477.00,9899.00,1985.00,70084.00,-52412.00,0.00,0.00,0.00,682886.00,0.00,0.00,682886.00,1802.00,0.00,63759.00,90000.00,155561.00,474913.00,0.00,474913.00,111015.00,0.00,585928.00,1656408.00,OK
Livingston County Capital Resource Corporation,9/30/2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,OK
